,0
0,A1BG
1,A1BG-AS1
2,AAAS
3,AACS
4,AAGAB
5,AAK1
6,AAMDC
7,AAMP
8,AAR2
9,AARS
10,AARS2
11,AARSD1
12,AASDH
13,AASDHPPT
14,AATF
15,ABAT
16,ABCA1
17,ABCA2
18,ABCA5
19,ABCA7
20,ABCB1
21,ABCB10
22,ABCB7
23,ABCB8
24,ABCC1
25,ABCC10
26,ABCC4
27,ABCC5
28,ABCD1
29,ABCD2
30,ABCD3
31,ABCD4
32,ABCE1
33,ABCF1
34,ABCF2
35,ABCF3
36,ABCG1
37,ABHD10
38,ABHD11
39,ABHD12
40,ABHD13
41,ABHD14A
42,ABHD14B
43,ABHD15
44,ABHD15-AS1
45,ABHD16A
46,ABHD17A
47,ABHD17B
48,ABHD18
49,ABHD2
50,ABHD3
51,ABHD4
52,ABHD5
53,ABHD6
54,ABHD8
55,ABI1
56,ABI2
57,ABI3
58,ABITRAM
59,ABL1
60,ABL2
61,ABLIM1
62,ABR
63,ABRACL
64,ABRAXAS1
65,ABRAXAS2
66,ABT1
67,ABTB1
68,ABTB2
69,AC002306.1
70,AC002310.1
71,AC002463.1
72,AC002467.1
73,AC004556.3
74,AC004687.1
75,AC004797.1
76,AC004812.2
77,AC004832.6
78,AC004854.2
79,AC004974.1
80,AC005037.1
81,AC005041.5
82,AC005070.3
83,AC005261.1
84,AC005332.1
85,AC005332.4
86,AC005400.1
87,AC005480.1
88,AC005540.1
89,AC005562.1
90,AC005670.3
91,AC005899.8
92,AC005920.2
93,AC006001.2
94,AC006059.1
95,AC006064.2
96,AC006064.4
97,AC006141.1
98,AC006369.1
99,AC006449.6
100,AC006460.2
101,AC006504.5
102,AC006942.1
103,AC007032.1
104,AC007216.4
105,AC007383.2
106,AC007384.1
107,AC007448.4
108,AC007569.1
109,AC007619.1
110,AC007728.1
111,AC007728.2
112,AC007780.1
113,AC007952.4
114,AC008014.1
115,AC008074.2
116,AC008083.3
117,AC008105.3
118,AC008124.1
119,AC008267.5
120,AC008438.1
121,AC008440.1
122,AC008443.1
123,AC008555.4
124,AC008569.1
125,AC008735.2
126,AC008764.8
127,AC008771.1
128,AC008875.3
129,AC008892.1
130,AC008937.2
131,AC008969.1
132,AC009053.2
133,AC009093.2
134,AC009120.2
135,AC009126.1
136,AC009133.3
137,AC009226.1
138,AC009299.3
139,AC009313.1
140,AC009522.1
141,AC009630.1
142,AC009812.1
143,AC009831.1
144,AC009961.1
145,AC010226.1
146,AC010247.1
147,AC010275.1
148,AC010609.1
149,AC010642.2
150,AC010754.1
151,AC010883.3
152,AC010894.3
153,AC010976.1
154,AC010978.1
155,AC011247.1
156,AC011444.1
157,AC011444.3
158,AC011446.2
159,AC011462.5
160,AC011476.3
161,AC011511.2
162,AC011603.2
163,AC011611.3
164,AC011933.4
165,AC012146.1
166,AC012306.2
167,AC012360.3
168,AC012368.1
169,AC012447.1
170,AC012507.3
171,AC012615.1
172,AC013264.1
173,AC013400.1
174,AC013460.1
175,AC015802.6
176,AC015849.1
177,AC015871.1
178,AC015912.3
179,AC015923.1
180,AC015982.2
181,AC016065.1
182,AC016074.2
183,AC016727.1
184,AC016831.1
185,AC016831.5
186,AC016831.7
187,AC016876.1
188,AC017002.1
189,AC017083.1
190,AC017083.2
191,AC017101.1
192,AC018362.1
193,AC018521.5
194,AC018754.1
195,AC018797.3
196,AC018816.1
197,AC019163.1
198,AC019205.1
199,AC020765.2
200,AC020911.2
201,AC020915.2
202,AC020916.1
203,AC021054.1
204,AC021127.1
205,AC021188.1
206,AC021752.1
207,AC022075.1
208,AC022098.1
209,AC022126.1
210,AC022182.1
211,AC022217.3
212,AC022364.1
213,AC022706.1
214,AC022916.1
215,AC023424.3
216,AC023509.3
217,AC025159.1
218,AC025164.1
219,AC025165.2
220,AC025171.1
221,AC025171.2
222,AC025171.3
223,AC025259.3
224,AC025682.1
